"Player","League_from","League_to","Fee","Season"
"Anthony Le Tallec","France","Premier League","2.25","02-03"
"Edgaras Jankauskas","LaLiga","Liga NOS","2.16","02-03"
"Danny Higginbotham","First Division","Premier League","2.03","02-03"
"Clayton Zane","Tippeligaen","Jupiler Pro League","2.03","02-03"
"Aliou Cissé","Ligue 1","Premier League","2.03","02-03"
"Ulrik Laursen","Scotland","Scotland","2.03","02-03"
"Magnus Hedman","First Division","Scotland","2.03","02-03"
"David Thompson","First Division","Premier League","2.03","02-03"
"Chris Riggott","First Division","Premier League","2","02-03"
"Ricardo","LaLiga","Premier League","2","02-03"
"Stefan Postma","Eredivisie","Premier League","2","02-03"
"Christoph Preuß","2. Bundesliga","Bundesliga","1.98","02-03"
"Rade Prica","Sweden","Bundesliga","1.98","02-03"
"Hanno Balitsch","2. Bundesliga","Bundesliga","1.8","02-03"
"Ümit Davala","Serie A","Serie A","1.8","02-03"
"Sixto Peralta","Serie A","Argentina","1.8","02-03"
"Andrés Fleurquín","Bundesliga","Ligue 1","1.8","02-03"
"Boris Smiljanic","Nationalliga A","Nationalliga A","1.8","02-03"
"Kemal Aslan","Süper Lig","Süper Lig","1.8","02-03"
"Gustavo Varela","Uruguay","Bundesliga","1.8","02-03"
"Aleksandar Rankovic","Serbia","Eredivisie","1.8","02-03"
"Salomon Olembé","Ligue 1","Ligue 1","1.8","02-03"
"Matthew Clarke","First Division","First Division","1.8","02-03"
"Paulo Ferreira","Liga NOS","Liga NOS","1.8","02-03"
"Olivier Thomert","Ligue 2","Ligue 1","1.8","02-03"
"Danny","Liga NOS","Liga NOS","1.8","02-03"
"Julio Hernán Rossi","Auf-/Abstiegsrunde NLA/NLB","Nationalliga A","1.8","02-03"
"Sergio Hellings","U19 Eredivisie","Belgium","1.8","02-03"
"Shunsuke Nakamura","J1 - 2nd Stage","Serie A","1.8","02-03"
"Luis Jiménez","Chile","Serie B","1.8","02-03"
"Mazhar Abdelrahman","Premier League","Ligue 1","1.8","02-03"
"Robbie Savage","First Division","Premier League","1.69","02-03"
"Espen Baardsen","First Division","Premier League","1.69","02-03"
"Jamie Clapham","First Division","Premier League","1.67","02-03"
"Arne Friedrich","Bundesliga","Bundesliga","1.62","02-03"
"Winston Parks","Serie A","Premier Liga","1.62","02-03"
"Sigurd Rushfeldt","LaLiga","Bundesliga","1.62","02-03"
"Hüseyin Cimsir","1.Lig","Süper Lig","1.53","02-03"
"Juan Fernández","Argentina","Bundesliga","1.49","02-03"
"Samuele Dalla Bona","Premier League","Serie A","1.44","02-03"
"Young-pyo Lee","K League 1","Eredivisie","1.4","02-03"
"Riadh Bouazizi","Süper Lig","Süper Lig","1.35","02-03"
"Clemens Fritz","2. Bundesliga","Bundesliga","1.35","02-03"
"Alex Frei","Nationalliga A","Ligue 1","1.35","02-03"
"Massimo Oddo","Serie B","Serie A","1.35","02-03"
"Marco Caneira","Liga NOS","Ligue 1","1.35","02-03"
"Andy Todd","Premier League","Premier League","1.35","02-03"
"Cyril Jeunechamp","Ligue 1","Ligue 1","1.35","02-03"
"Darren Ambrose","First Division","Premier League","1.35","02-03"
"Sebastián Pardo","Chile","Eredivisie","1.35","02-03"
"Adrian Ilie","LaLiga","LaLiga","1.35","02-03"
"Washington","Série A","Süper Lig","1.35","02-03"
"David Fernández","Scotland","Scotland","1.35","02-03"
"Nicolás Pavlovich","Argentina","Premier Liga","1.35","02-03"
"Vladislav Radimov","Premier Liga","Premier Liga","1.35","02-03"
"Mikhail Ashvetia","Premier Liga","Premier Liga","1.35","02-03"
"Matthew Upson","Premier League","Premier League","1.26","02-03"
"Blaise Nkufo","2. Bundesliga","Bundesliga","1.26","02-03"
"Diego Crosa","LaLiga","Argentina","1.26","02-03"
"Kevin Vandenbergh","Jupiler Pro League","Jupiler Pro League","1.26","02-03"
"Bill Tchato","Ligue 1","Bundesliga","1.26","02-03"
"Stephen Clemence","Premier League","Premier League","1.22","02-03"
"Alexander Manninger","Premier League","LaLiga","1.19","02-03"
"Hannu Tihinen","Tippeligaen","Jupiler Pro League","1.17","02-03"
"Jiayi Shao","Jia A","Bundesliga","1.17","02-03"
"Chengying Wu","Jia A","Jia A","1.17","02-03"
"Ognjen Koroman","Serbia","Premier Liga","1.13","02-03"
"Aleksandar Mitreski","Nationalliga A","Nationalliga A","1.13","02-03"
"Marco Ferreira","Liga NOS","Liga NOS","1.1","02-03"
"Radoslaw Kaluzny","Bundesliga","Bundesliga","1.08","02-03"
"Hakan Ünsal","Premier League","Süper Lig","1.08","02-03"
"Cristian Traverso","Argentina","Primera Clausura","1.08","02-03"
"Zafer Demiray","Süper Lig","Süper Lig","1.08","02-03"
"Hermann Hreidarsson","First Division","Premier League","1.08","02-03"
"Edvin Murati","Ligue 1","A' Ethniki","1.08","02-03"
"Zinédine Zidane","Serie A","LaLiga","69.75","01-02"
"Gianluigi Buffon","Serie A","Serie A","47.6","01-02"
"Gaizka Mendieta","LaLiga","Serie A","43.2","01-02"
"Juan Sebastián Verón","Serie A","Premier League","38.34","01-02"
"Rui Costa","Serie A","Serie A","37.18","01-02"
"Filippo Inzaghi","Serie A","Serie A","32.54","01-02"
"Lilian Thuram","Serie A","Serie A","32.54","01-02"
"Javier Saviola","Argentina","LaLiga","32.31","01-02"
"Antonio Cassano","Serie B","Serie A","27.9","01-02"
"Ruud van Nistelrooy","KPN Eredivisie","Premier League","25.65","01-02"
"Hidetoshi Nakata","Serie A","Serie A","25.56","01-02"
"Francesco Toldo","Serie A","Serie A","23.85","01-02"
"Jaap Stam","Premier League","Serie A","23.18","01-02"
"Márcio Amoroso","Serie A","Bundesliga","22.95","01-02"
"Stefano Fiore","Serie A","Serie A","22.5","01-02"
"Marcelo Salas","Serie A","Serie A","22.5","01-02"
"Geovanni","Série A","LaLiga","18.9","01-02"
"Sérgio Conceição","Serie A","Serie A","16.2","01-02"
"Robbie Keane","Serie A","Premier League","16.2","01-02"
"Sergio","LaLiga","LaLiga","16.11","01-02"
"Steve Marlet","Ligue 1","Premier League","15.84","01-02"
"Andrea Pirlo","Serie A","Serie A","15.34","01-02"
"Philippe Christanval","Ligue 1","LaLiga","15.3","01-02"
"Robbie Fowler","Premier League","Premier League","15.12","01-02"
"Javi Moreno","LaLiga","Serie A","14.4","01-02"
"Frank Lampard","Premier League","Premier League","14.4","01-02"
"Cristian Zenoni","Serie A","Serie A","13.95","01-02"
"Darko Kovacevic","Serie A","LaLiga","13.94","01-02"
"Massimo Donati","Serie A","Serie A","13.5","01-02"
"Evanilson","Bundesliga","Serie A","13.5","01-02"
"Jonathan Bachini","Serie A","Serie A","13.5","01-02"
"Michalis Konstantinou","A' Ethniki","A' Ethniki","13.5","01-02"
"Darko Kovacevic","Serie A","Serie A","13.5","01-02"
"Laurent Robert","Ligue 1","Premier League","12.89","01-02"
"Ivan Pelizzoli","Serie A","Serie A","12.6","01-02"
"Giovanni van Bronckhorst","Scotland","Premier League","12.15","01-02"
"Adriano","Brazil","Serie A","11.87","01-02"
"Mohamed Kallon","Serie B","Serie A","11.7","01-02"
"Goran Drulic","Serbia","LaLiga","11.7","01-02"
"Fabio Liverani","Serie A","Serie A","11.7","01-02"
"Simão","LaLiga","Liga NOS","11.62","01-02"
"Boudewijn Zenden","LaLiga","Premier League","11.61","01-02"
"Andy Cole","Premier League","Premier League","10.98","01-02"
"Dean Richards","Premier League","Premier League","10.94","01-02"
"Éric Carrière","Ligue 1","Ligue 1","10.8","01-02"
"Bernt Haas","Nationalliga A","Premier League","10.62","01-02"
"Daniel Van Buyten","Jupiler Pro League","Ligue 1","10.35","01-02"
"Seth Johnson","Premier League","Premier League","10.35","01-02"
"Emmanuel Petit","LaLiga","Premier League","10.35","01-02"
"Corrado Grabbi","Serie B","Premier League","10.23","01-02"
"Diego Forlán","Argentina","Premier League","9.9","01-02"
"Cristiano Zanetti","Serie A","Serie A","9.9","01-02"
"Juan Carlos Valerón","2ª División","LaLiga","9.9","01-02"
"Mario Turdó","LaLiga","Ligue 1","9.74","01-02"
"Salva Ballesta","2ª División","LaLiga","9.72","01-02"
"Jan Koller","Jupiler Pro League","Bundesliga","9.45","01-02"
"Marco Materazzi","Serie A","Serie A","9.45","01-02"
"Edwin van der Sar","Serie A","Premier League","9.27","01-02"
"Luca Saudati","Serie A","Serie A","9","01-02"
"Manuele Blasi","Serie A","Serie A","8.83","01-02"
"Martin Djetou","Ligue 1","Serie A","8.78","01-02"
"Gareth Southgate","Premier League","Premier League","8.78","01-02"
"Michael Ball","Premier League","Scotland","8.78","01-02"
"Hugo Leal","2ª División","Ligue 1","8.55","01-02"
"William Gallas","Ligue 1","Premier League","8.37","01-02"
"Martin Laursen","Serie A","Serie A","8.37","01-02"
"John Hartson","First Division","Scotland","8.1","01-02"
"Richard Wright","Premier League","Premier League","8.1","01-02"
"Craig Bellamy","First Division","Premier League","8.1","01-02"
"Lucas Bernardi","Ligue 1","Ligue 1","8.1","01-02"
"Fábio Rochemback","Brazil","LaLiga","8.1","01-02"
"Péguy Luyindula","Ligue 2","Ligue 1","7.92","01-02"
"Edú Gaspar","Série A","Premier League","7.88","01-02"
"Flavio Roma","Serie A","Ligue 1","7.65","01-02"
"Jan Vennegoor of Hesselink","KPN Eredivisie","KPN Eredivisie","7.56","01-02"
"Tomas Repka","Serie A","Premier League","7.43","01-02"
"Chris Kirkland","First Division","Premier League","7.38","01-02"
"Alex","Brazil","Serie A","7.2","01-02"
"Patrik Andersson","Bundesliga","LaLiga","7.2","01-02"
"Bosko Balaban","Croatia","Premier League","7.02","01-02"
"Zlatan Ibrahimovic","Sweden","KPN Eredivisie","7.02","01-02"
"Francisco Rufete","LaLiga","LaLiga","6.97","01-02"
"Claudio Pizarro","Bundesliga","Bundesliga","6.79","01-02"
"Robert Kovac","Bundesliga","Bundesliga","6.75","01-02"
"Fernando Meira","Liga NOS","Bundesliga","6.75","01-02"
"Jon Macken","First Division","First Division","6.75","01-02"
"Jason Euell","First Division","Premier League","6.75","01-02"
"Don Hutchison","Premier League","Premier League","6.75","01-02"
"Giuliano Giannichedda","Serie A","Serie A","6.75","01-02"
"Peter Crouch","First Division","Premier League","6.75","01-02"
"Jermaine Jenas","First Division","Premier League","6.75","01-02"
"Lee Hughes","First Division","First Division","6.75","01-02"
"Frédéric Née","Ligue 1","Ligue 1","6.75","01-02"
"Jerzy Dudek","KPN Eredivisie","Premier League","6.66","01-02"
"Ewerthon","Brazil","Bundesliga","6.39","01-02"
"Cosmin Contra","LaLiga","Serie A","6.3","01-02"
"Milan Baros","Gambrinus Liga","Premier League","6.3","01-02"
"Camel Meriem","Ligue 1","Ligue 1","6.3","01-02"
"Marcelinho Paraíba","Brazil","Bundesliga","6.3","01-02"
"Nelson Vivas","Premier League","Serie A","6.3","01-02"
"Javier Chevantón","Uruguay","Serie A","6.3","01-02"
"Olof Mellberg","2ª División","Premier League","6.12","01-02"
"Tomasz Radzinski","Jupiler Pro League","Premier League","6.08","01-02"
"Szilard Nemeth","Slovakia","Premier League","6.08","01-02"
"Christian Panucci","Serie A","Ligue 1","6.04","01-02"
"Claudio Reyna","Scotland","Premier League","6.03","01-02"
"Steed Malbranque","Ligue 1","Premier League","5.94","01-02"
"Christian Ziege","Premier League","Premier League","5.85","01-02"
"Jacques Songo'o","LaLiga","Ligue 1","5.85","01-02"
"John Arne Riise","Ligue 1","Premier League","5.73","01-02"
"Bart Goor","Jupiler Pro League","Bundesliga","5.63","01-02"
"Matteo Sereni","Serie B","Premier League","5.63","01-02"
"Marco Marchionni","Serie B","Serie A","5.58","01-02"
"Jardel","Süper Lig","Liga NOS","5.58","01-02"
"Caçapa","Brazil","Ligue 1","5.58","01-02"
"Sebastián Cejas","Argentina","Serie A","5.4","01-02"
"Zoltan Sebescen","Bundesliga","Bundesliga","5.4","01-02"
"Gonzalo Sorondo","Uruguay","Serie A","5.4","01-02"
"Goran Bunjevcevic","Serbia","Premier League","5.4","01-02"
"Rory Delap","Premier League","Premier League","5.4","01-02"
"Lilian Laslandes","Ligue 1","Premier League","5.4","01-02"
"Luke Young","Premier League","Premier League","5.4","01-02"
"Alex","Serie A","Série A","5.4","01-02"
"Lamberto Zauli","Serie B","Serie A","5.4","01-02"
"Antonio Guayre","LaLiga","LaLiga","5.4","01-02"
"Agustín Delgado","Primera Verano","Premier League","5.18","01-02"
"Joey Gudjónsson","KPN Eredivisie","LaLiga","5.06","01-02"
"Bernardo Romeo","Argentina","Bundesliga","5.06","01-02"
"Niko Kovac","Bundesliga","Bundesliga","4.95","01-02"
"Shinji Ono","J1 - 2nd Stage","KPN Eredivisie","4.95","01-02"
"Leandro Bonfim","Série A","KPN Eredivisie","4.95","01-02"
"Nicola Amoruso","Serie B","Serie A","4.95","01-02"
"El-Hadji Diouf","Ligue 1","Ligue 1","4.81","01-02"
"Ezequiel González","Argentina","Serie A","4.81","01-02"
"Marius Niculae","Romania","Liga NOS","4.77","01-02"
"Nicolás Medina","Argentina","Premier League","4.73","01-02"
"Sylvain Legwinski","Ligue 1","Premier League","4.73","01-02"
"Jon Harley","Premier League","Premier League","4.73","01-02"
"Matteo Ferrari","Serie A","Serie A","4.65","01-02"
"Victor Agali","Bundesliga","Bundesliga","4.59","01-02"
"Jörg Albertz","Scotland","Bundesliga","4.5","01-02"
"Sander Westerveld","Premier League","LaLiga","4.5","01-02"
"Ümit Davala","Süper Lig","Serie A","4.5","01-02"
"Nihat Kahveci","Süper Lig","LaLiga","4.5","01-02"
"Delfim","Liga NOS","Ligue 1","4.5","01-02"
"Mantorras","Liga NOS","Liga NOS","4.5","01-02"
"Eduardo Costa","Brazil","Ligue 1","4.5","01-02"
"Luca Toni","Serie B","Serie A","4.5","01-02"
"João Tomás","Liga NOS","LaLiga","4.5","01-02"
"Ronaldinho","Brazil","Ligue 1","4.5","01-02"
"César","Brazil","Serie A","4.5","01-02"
"Aníbal Matellán","Argentina","Bundesliga","4.32","01-02"
"David James","Premier League","Premier League","4.32","01-02"
"Hugo Ibarra","Argentina","Liga NOS","4.23","01-02"
"Dario Dainelli","Serie B","Serie A","4.18","01-02"
"Matthew Jones","Premier League","Premier League","4.05","01-02"
"Kenny Miller","Scotland","First Division","4.05","01-02"
"Shota Arveladze","KPN Eredivisie","Scotland","4.05","01-02"
"Jérôme Rothen","Ligue 1","Ligue 1","4.05","01-02"
"Marcus Bent","Premier League","Premier League","4.05","01-02"
"Patrick M'Boma","Serie A","Premier League","4.05","01-02"
"James Scowcroft","Premier League","Premier League","4.05","01-02"
"Jacek Bak","Ligue 1","Ligue 1","3.87","01-02"
"Mido","Jupiler Pro League","KPN Eredivisie","3.78","01-02"
"Finidi George","LaLiga","Premier League","3.78","01-02"
"Pablo Contreras","Ligue 1","LaLiga","3.78","01-02"
"François Grenet","Ligue 1","Premier League","3.77","01-02"
"Dong-won Seo","K League 1","K League 1","3.7","01-02"
"Roberto Bonano","Argentina","LaLiga","3.69","01-02"
"Pedrinho","Brazil","Brazil","3.69","01-02"
"Lincoln","Brazil","Bundesliga","3.6","01-02"
"Mustapha Hadji","First Division","Premier League","3.6","01-02"
"Brahim Hemdani","Ligue 2","Ligue 1","3.6","01-02"
"Joachim Björklund","LaLiga","Serie A","3.6","01-02"
"Alberto Gilardino","Serie A","Serie A","3.49","01-02"
"Toifilou Maoulida","Ligue 1","Ligue 1","3.42","01-02"
"John de Jong","KPN Eredivisie","KPN Eredivisie","3.42","01-02"
"Sylvinho","Premier League","LaLiga","3.42","01-02"
"Mario Yepes","Argentina","Ligue 1","3.42","01-02"
"Tobias Linderoth","Tippeligaen","Premier League","3.38","01-02"
"Ilhan Mansiz","Süper Lig","Süper Lig","3.38","01-02"
"Ian Walker","Premier League","Premier League","3.38","01-02"
"Simone Vergassola","Serie B","Serie A","3.33","01-02"
"Nicola Corrent","Serie B","Serie A","3.25","01-02"
"Massimo Margiotta","Serie A","Serie B","3.24","01-02"
"Vitali Kutuzov","Vysheyshaya Liga","Serie A","3.15","01-02"
"Paolo Ginestra","Serie A","Serie A","3.15","01-02"
"Yksel Osmanovski","Serie B","Serie A","3.15","01-02"
"Gabriel Heinze","LaLiga","Ligue 1","3.15","01-02"
"Maxwell","Brazil","KPN Eredivisie","3.15","01-02"
"Jorge Bermúdez","Argentina","A' Ethniki","3.15","01-02"
"Dennis Wise","Premier League","Premier League","3.15","01-02"
"Bruno Cirillo","Serie A","Serie A","3.06","01-02"
"Gustavo Poyet","Premier League","Premier League","3.06","01-02"
"Stelios Venetidis","A' Ethniki","A' Ethniki","2.97","01-02"
"Abdeslam Ouaddou","Ligue 2","Premier League","2.97","01-02"
"Jihai Sun","Jia A","First Division","2.93","01-02"
"Yildiray Bastürk","2. Bundesliga","Bundesliga","2.93","01-02"
"Martin Petrov","1.Liga gr. 1","Bundesliga","2.93","01-02"
"Sebastian Kehl","Bundesliga","Bundesliga","2.88","01-02"
"Luís Figo","LaLiga","LaLiga","54","00-01"
"Hernán Crespo","Serie A","Serie A","51.13","00-01"
"Marc Overmars","Premier League","LaLiga","36","00-01"
"Gabriel Batistuta","Serie A","Serie A","32.54","00-01"
"Nicolas Anelka","LaLiga","Ligue 1","31.05","00-01"
"Rio Ferdinand","Premier League","Premier League","23.4","00-01"
"Flávio Conceição","LaLiga","LaLiga","22.5","00-01"
"Savo Milosevic","LaLiga","Serie A","22.5","00-01"
"David Trézéguet","Ligue 1","Serie A","20.92","00-01"
"Claudio López","LaLiga","Serie A","20.7","00-01"
"Jimmy Floyd Hasselbaink","2ª División","Premier League","20.25","00-01"
"Gerard López","LaLiga","LaLiga","19.44","00-01"
"Lucas","Brazil","Ligue 1","19.17","00-01"
"Pablo Aimar","Argentina","LaLiga","19.13","00-01"
"Wálter Samuel","Argentina","Serie A","18.72","00-01"
"Shabani Nonda","Ligue 1","Ligue 1","18","00-01"
"Robbie Keane","Premier League","Serie A","17.55","00-01"
"Jonathan Zebina","Serie B","Serie A","16.56","00-01"
"Émerson","Bundesliga","Serie A","16.2","00-01"
"Tore André Flo","Premier League","Scotland","16.2","00-01"
"Sergiy Rebrov","Vyshcha Liga","Premier League","16.2","00-01"
"Angelo Peruzzi","Serie A","Serie A","16.11","00-01"
"Diego Tristán","LaLiga","LaLiga","15.98","00-01"
"Sylvain Wiltord","Ligue 1","Premier League","15.75","00-01"
"Fernando Redondo","LaLiga","Serie A","15.75","00-01"
"Jardel","Liga NOS","Süper Lig","15.35","00-01"
"Nuno Gomes","Liga NOS","Serie A","15.3","00-01"
"Sérgio Conceição","Serie A","Serie A","15.3","00-01"
"Alfonso","2ª División","LaLiga","14.85","00-01"
"Francisco Farinós","LaLiga","Serie A","14.63","00-01"
"Kakhaber Kaladze","Vyshcha Liga","Serie A","14.4","00-01"
"Francis Jeffers","Premier League","Premier League","13.77","00-01"
"Emmanuel Petit","Premier League","LaLiga","13.5","00-01"
"Tomas Rosicky","Gambrinus Liga","Bundesliga","13.05","00-01"
"Catanha","LaLiga","LaLiga","12.98","00-01"
"Juan Pablo Ángel","Argentina","Premier League","12.96","00-01"
"Claude Makélélé","LaLiga","LaLiga","12.6","00-01"
"Mateja Kezman","Serbia","KPN Eredivisie","12.6","00-01"
"Aldo Duscher","Liga NOS","LaLiga","11.7","00-01"
"Ugo Ehiogu","Premier League","Premier League","10.98","00-01"
"Jesper Grönkjaer","KPN Eredivisie","Premier League","10.67","00-01"
"Fabien Barthez","Ligue 1","Premier League","10.53","00-01"
"Edmílson","Brazil","Ligue 1","9.9","00-01"
"Stéphane Dalmat","Ligue 1","Ligue 1","9.68","00-01"
"Laurén","LaLiga","Premier League","9.63","00-01"
"Olivier Dacourt","Ligue 1","Premier League","9.45","00-01"
"Stéphane Porato","Ligue 1","Ligue 1","9.45","00-01"
"Carl Cort","First Division","Premier League","9.45","00-01"
"Pedro Munitis","LaLiga","LaLiga","9.45","00-01"
"Robert Pirès","Ligue 1","Premier League","8.82","00-01"
"Émerson","2ª División","LaLiga","8.64","00-01"
"Chris Sutton","Premier League","Scotland","8.55","00-01"
"Claudio Husaín","Argentina","Serie A","8.37","00-01"
"Craig Bellamy","First Division","Premier League","8.33","00-01"
"Mark Viduka","Scotland","Premier League","8.24","00-01"
"Pauleta","LaLiga","Ligue 1","8.19","00-01"
"Christian Ziege","Premier League","Premier League","8.1","00-01"
"Nick Barmby","Premier League","Premier League","8.1","00-01"
"Alpay Özalan","Süper Lig","Premier League","8.1","00-01"
"Marc-Vivien Foé","Premier League","Ligue 1","8.1","00-01"
"Christian Karembeu","LaLiga","Premier League","7.88","00-01"
"Neil Lennon","Premier League","Scotland","7.76","00-01"
"Lucas Castromán","Argentina","Serie A","7.75","00-01"
